sex,CP_Name,broad_age_band,pop
Females,"Oban, Lorn and the Isles",0-15,1612
Females,"Mid-Argyll, Kintyre and Islay",0-15,1415
Females,Bute and Cowal,0-15,1312
Females,Helensburgh and Lomond,0-15,1805
Females,Lochaber,0-15,1459
Females,Badenoch and Strathspey,0-15,885
Females,Nairn and Nairnshire,0-15,846
Females,Inverness,0-15,6951
Females,"Skye, Lochalsh and West Ross",0-15,1248
Females,Mid Ross,0-15,2099
Females,East Ross,0-15,1861
Females,Sutherland,0-15,819
Females,Caithness,0-15,1942
Males,"Oban, Lorn and the Isles",0-15,1632
Males,"Mid-Argyll, Kintyre and Islay",0-15,1489
Males,Bute and Cowal,0-15,1435
Males,Helensburgh and Lomond,0-15,1819
Males,Lochaber,0-15,1556
Males,Badenoch and Strathspey,0-15,975
Males,Nairn and Nairnshire,0-15,972
Males,Inverness,0-15,7058
Males,"Skye, Lochalsh and West Ross",0-15,1364
Males,Mid Ross,0-15,2304
Males,East Ross,0-15,2031
Males,Sutherland,0-15,850
Males,Caithness,0-15,2023
Females,"Oban, Lorn and the Isles",16-24,705
Females,"Mid-Argyll, Kintyre and Islay",16-24,696
Females,Bute and Cowal,16-24,703
Females,Helensburgh and Lomond,16-24,953
Females,Lochaber,16-24,914
Females,Badenoch and Strathspey,16-24,402
Females,Nairn and Nairnshire,16-24,449
Females,Inverness,16-24,3675
Females,"Skye, Lochalsh and West Ross",16-24,594
Females,Mid Ross,16-24,1018
Females,East Ross,16-24,822
Females,Sutherland,16-24,414
Females,Caithness,16-24,990
Males,"Oban, Lorn and the Isles",16-24,750
Males,"Mid-Argyll, Kintyre and Islay",16-24,796
Males,Bute and Cowal,16-24,696
Males,Helensburgh and Lomond,16-24,1917
Males,Lochaber,16-24,971
Males,Badenoch and Strathspey,16-24,519
Males,Nairn and Nairnshire,16-24,508
Males,Inverness,16-24,4035
Males,"Skye, Lochalsh and West Ross",16-24,705
Males,Mid Ross,16-24,1153
Males,East Ross,16-24,966
Males,Sutherland,16-24,483
Males,Caithness,16-24,1133
Females,"Oban, Lorn and the Isles",25-44,2312
Females,"Mid-Argyll, Kintyre and Islay",25-44,1977
Females,Bute and Cowal,25-44,1885
Females,Helensburgh and Lomond,25-44,2493
Females,Lochaber,25-44,2281
Females,Badenoch and Strathspey,25-44,1385
Females,Nairn and Nairnshire,25-44,1276
Females,Inverness,25-44,10844
Females,"Skye, Lochalsh and West Ross",25-44,1868
Females,Mid Ross,25-44,2916
Females,East Ross,25-44,2452
Females,Sutherland,25-44,1161
Females,Caithness,25-44,2708
Males,"Oban, Lorn and the Isles",25-44,2128
Males,"Mid-Argyll, Kintyre and Islay",25-44,1840
Males,Bute and Cowal,25-44,1765
Males,Helensburgh and Lomond,25-44,3454
Males,Lochaber,25-44,2196
Males,Badenoch and Strathspey,25-44,1272
Males,Nairn and Nairnshire,25-44,1224
Males,Inverness,25-44,10509
Males,"Skye, Lochalsh and West Ross",25-44,1830
Males,Mid Ross,25-44,2691
